treatment_id,treatment_name,fee
1,Pain Relieving,296.73
2,Phenylephrine HCl,54.43
3,Metoprolol Tartrate,90.8
4,Levetiracetam,169.52
5,False Ragweed,274.14
6,Derma 1 Healthcare Hand Wash,217.07
7,Olanzapine,391.4
8,Losartan Potassium and Hydrochlorothiazide,230.08
9,Detrol LA,190.42
10,True Beige Always color stay-on Makeup Broad Spectrum SPF 15,346.37
11,Dexamethasone,199.73
12,MISSHA M VITA BB,329.76
13,Emoquette,213.83
14,ondansetron hydrochloride,358.47
15,Zap APF,383.73
16,Hydromorphone HCl,353.32
17,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),381.91
18,Adrenapar,129.65
19,MAXALT-MLT,206.89
20,Medicated,296.73
21,Protriptyline hydrochloride,389.91
22,TAMSULOSIN HYDROCHLORIDE,273.09
23,Beech Pollen,256.81
24,Childrens Fever Reliever,363.52
25,TriNessa,309.23
26,Face and Body Sunscreen SPF 35,270.5
27,Western Family,203.69
28,REVITALIZING FACIAL FOAM,134.28
29,Argentum nitricum 6 Special Order,394.63
30,ENURESIS HP,267.52
31,milk of magnesia,91.81
32,Rite Aid RENEWAL,70.03
33,Tri Estrogen,266.26
34,Lisinopril,65.08
35,Leader Childrens Mucus Relief,341.37
36,Ipratropium Bromide,367.61
37,No7 Beautifully Matte Foundation Sunscreen Broad Spectrum SPF 15 Cool Vanilla,202.93
38,COZAAR,298.74
39,BEEVENOM BB,203.21
40,Naropin,194.85
41,Carnitor,197.43
42,HemaCord,261.23
43,good neighbor pharmacy day time,111.46
44,Equaline Cough DM,394.79
45,Smart Sense Hydrocortisone,178.03
46,Anti-Bacterial Hand,145.36
47,Dead Down Wind ScentPrevent,218.0
48,Atenolol,219.94
49,Antimicrobial Hand Wash,253.24
50,Care One Ibuprofen,253.12
51,Nifedipine,371.18
52,Pink Bismuth,331.91
53,Clonazepam,147.38
54,Respaire-30,272.81
55,Carvedilol,254.26
56,isosorbide mononitrate,280.28
57,Sprayology Snore Soother,244.26
58,Trimethobenzamide Hydrochloride,114.94
59,Biotox Para,106.64
60,Perphenazine,323.16
61,Ammonia,298.49
62,Povidone-Iodine Prep Swabsticks,287.1
63,Alba Lip Care Sunblock SPF 25,132.75
64,Divalproex Sodium,364.79
65,Tetracycline Hydrochloride,53.19
66,Atenolol and Chlorthalidone,74.5
67,ATORVASTATIN CALCIUM,279.01
68,CORRECT COMBO,91.79
69,ASSURED PAIN RELIEF HOT PATCH,207.4
70,Ibuprofen,253.07
71,HOUSEFLY FOR DIAGNOSTIC USE ONLY,91.42
72,CYZONE,141.91
73,Helium Oxygen,105.75
74,Alka-Seltzer Plus Day and Night Severe Cold and Flu,128.88
75,Breast Care - Fibrocystic,82.57
76,ATRIPLEX WRIGHTII POLLEN,386.79
77,METOPROLOL SUCCINATE,157.08
78,Marlido Kit,270.85
79,UV MILD SUN BLOCK,272.37
80,Catapres,154.67
81,Sodium Bicarbonate,113.03
82,Proactiv Solution Renewing Cleanser,287.33
83,Golden Fair Foundation SPF 15,200.52
84,ZOLPIDEM TARTRATE,265.25
85,Fluconazole,267.37
86,Nadolol,339.68
87,Arthritis Therapy,268.41
88,Clomipramine Hydrochloride,282.68
89,Methylphenidate HCl Oral Solution,383.81
90,Oxygen,384.44
91,ACONITINUM,213.43
92,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Mocha,355.55
93,Metformin Hydrochloride,384.97
94,BP Cleansing Wash,55.77
95,No7 Stay Perfect Foundation Sunscreen SPF 15 Suede,184.13
96,AMERFRESH ANTIPERSPIRANT DEODORANT,158.19
97,Phenazopyridine Hydrochloride,99.57
98,Glimepiride,314.81
99,Medicated Apricot Scrub,76.64
100,Latanoprost,215.63
101,Health Mart calcium antacid,56.4
102,Synthroid,276.41
103,Amoxicillin,204.61
104,Medicated Dandruff,272.62
105,PILOCARPINE HYDROCHLORIDE,93.65
106,DAPSONE,98.07
107,DOLOPHINE HYDROCHLORIDE,397.37
108,Xolox,53.68
109,Sugar Free Cherry Fishermans Friend Menthol Cough Suppressant,221.22
110,DryMax,110.84
111,Levofloxacin,396.23
112,Klor-Con,83.59
113,ISOXSUPRINE HYDROCHLORIDE,84.76
114,Enalaprilat,168.67
115,Lightening Serum,266.55
116,ATOMY BB,121.62
117,Xodol,324.65
118,Health Mart Maximum Strength Sleep Aid,199.1
119,Ear Dry,78.57
120,Metoprolol succinate,354.74
121,Flualgia,76.57
122,DEXTROSE,300.85
123,Cotton Linters,392.85
124,"4-PINE MIX, AUSTRIAN/LOBLOLLY/SCOTCH/WHITE POLLEN",283.88
125,Tobramycin and Dexamethasone,295.31
126,Marinol,74.72
127,SYNTHROID,156.1
128,Lightening Serum,121.49
129,Pleo Ver,379.13
130,Naftin,374.36
131,Denti-Care Denti-Freeze,260.06
132,Family Dollar Antibacterial Hand,73.3
133,CEFPODOXIME PROXETIL,191.5
134,Childrens Allergy,316.86
135,Ursodiol,287.23
136,Chicken Meat,336.08
137,Aromafields Tiger Lily Scented Antibacterial Hand Wash,110.39
138,Chlorhexidine Gluconate,272.05
139,Eight Hour Cream Targeted Sun Defense SPF 50,282.65
140,AMOXICILLIN,137.94
141,Kadian,163.74
142,Olanzapine and Fluoxetine,117.05
143,Duloxetine Hydrochloride,154.9
144,Donepezil hydrochloride,315.91
145,GAMMAGARD,206.66
146,Dakins Half,282.48
147,Meclizine Hydrochloride,222.37
148,Ondansetron Hydrochloride and Dextrose,146.11
149,APAP 500,50.17
150,LBEL,283.17
151,Risperidone,266.65
152,Spinach,148.56
153,Pain Relief PM,159.05
154,SHISEIDO SUN PROTECTION FOUNDATION,298.8
155,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,148.96
156,Buckwheat Grain,211.11
157,Glipizide XL,133.07
158,Doxycycline Hyclate,316.62
159,Docusate Sodium,164.33
160,IASO FOR MEN WHITE EX 2-IN-1 FLUID SUPREME,356.66
161,Verapamil Hydrochloride,208.31
162,Misoprostol,159.07
163,Isopropyl Alcohol,170.56
164,Glipizide,298.87
165,Aureobasidium pullulans,87.3
166,ILOTYCIN,277.44
167,OVACE Plus,385.23
168,Metformin Hydrochloride,294.46
169,Indomethacin,286.13
170,PERSONAL LUBRICANT,167.54
171,Rutin,288.48
172,ASACOL HD,54.07
173,AMARANTHUS PALMERI POLLEN,157.77
174,formu care omeprazole,109.93
175,Hand-E XL,63.23
176,ESZOPICLONE,321.64
177,FAGUS GRANDIFOLIA POLLEN,151.51
178,acetic acid,274.14
179,Bentasil,307.07
180,Cranberry Spice Antibacterial Foaming Hand Wash,241.15
181,Sunmark cough dm,245.36
182,Cleanse,302.6
183,Sumatriptan Succinate,146.69
184,Lidocaine Hydrochloride,393.24
185,VIDEX,108.1
186,hydroxyzine pamoate,345.04
187,Trazodone Hydrochloride,365.43
188,Sodium Bicarbonate,189.41
189,SEROQUEL,198.74
190,Megestrol Acetate,212.1
191,Metformin Hydrochloride,248.48
192,Heparin Sodium,318.44
